other,arm,boot_mean,ci_lo,ci_hi,n_boot,window
BMI,DBS,0.01303868778860258,-0.027707261067095257,0.1227385426228276,500,baseline
LEDD,DBS,0.05663787071947384,0,0.24792861226285087,500,baseline
NP1ANXS,DBS,0.059987220312251364,0,0.2270585572636335,500,baseline
NP1DPRS,DBS,0.004096132628336887,-0.04759545966131192,0.06996316128283574,500,baseline
NP1FATG,DBS,0.33854981339068213,0.11941382849148133,0.5756012235837382,500,baseline
NP1SLPD,DBS,0.051309398724856174,0,0.20816041123786505,500,baseline
NP1SLPN,DBS,0.144604048426861,0,0.3131380537164342,500,baseline
NP1URIN,DBS,0.07016423321568285,0,0.2248927985139696,500,baseline
ess,DBS,0.046391110618865715,0,0.19006294971651388,500,baseline
gds,DBS,0.02310891036776558,0,0.15443709547285947,500,baseline
rem,DBS,-5.451266793153685e-4,-0.08908966842686866,0.0702208304369934,500,baseline
scopa,DBS,0.08256010517176011,0,0.24540316158276915,500,baseline
stai,DBS,0.013016168166062188,0,0.10635758146911384,500,baseline
updrs3_score,DBS,0.02124916297064644,-0.050245543173379995,0.1479647017700785,500,baseline
BMI,Never-DBS,0.0018524171984224578,-0,0.03157494511262439,500,baseline
LEDD,Never-DBS,0.018150806311399415,0,0.0669570443266079,500,baseline
NP1ANXS,Never-DBS,0.010063302816575175,0,0.053627822615309614,500,baseline
NP1DPRS,Never-DBS,0.001864368871811638,-0.01769150507885079,0.02900318995728126,500,baseline
NP1FATG,Never-DBS,0.20033866341021514,0.13660317032779565,0.2647305232050772,500,baseline
NP1SLPD,Never-DBS,0.014003014998422464,0,0.06911571777421738,500,baseline
NP1SLPN,Never-DBS,0.19359046614923717,0.13293778571499332,0.2509775278158084,500,baseline
NP1URIN,Never-DBS,0.01671673548337057,0,0.0707197924768922,500,baseline
ess,Never-DBS,-0.013091977224261982,-0.06589492526456511,0,500,baseline
gds,Never-DBS,0.018767241368914535,0,0.06004144325379248,500,baseline
rem,Never-DBS,0.050668956552989475,0,0.10992613968841639,500,baseline
scopa,Never-DBS,0.07076062651530984,0.007088211464150437,0.12639869644319798,500,baseline
stai,Never-DBS,0.0014826482743566882,0,0.02233849237121282,500,baseline
updrs3_score,Never-DBS,0.01898972437155693,0,0.07421386279396906,500,baseline
BMI,DBS,-0.025243702338895585,-0.1934549396011308,0.03107292484321841,500,early_post
LEDD,DBS,0.10894850023844121,0,0.33833820833180456,500,early_post
NP1ANXS,DBS,0.003696577535252116,-0.06594709650797692,0.08790867827008819,500,early_post
NP1DPRS,DBS,-0.04071097425179648,-0.222907538323801,0,500,early_post
NP1FATG,DBS,0.01537116370848749,-0.10082146676019935,0.17113555677717818,500,early_post
