outcome,label,stratum,n_dbs,n_ctrl,mean_dbs,mean_ctrl,diff,welch_p,tost_p_lower,tost_p_upper,tost_p_max,tost_conclude_NI,margin
NP1PAIN,"Pain (primary, positive control)",All,67,575,0.06463560661104963,0.08060830160364081,-0.015972694992591185,0.8917147139643014,4.922419389569551e-13,1.4003865190329615e-13,4.922419389569551e-13,TRUE,1
NP1PAIN,"Pain (primary, positive control)",Low (<1),25,266,0.3033956964411063,0.4100660022537634,-0.10667030581265707,0.42172771104605833,6.048336272299601e-8,7.51997633121171e-10,6.048336272299601e-8,TRUE,1
NP1PAIN,"Pain (primary, positive control)",Moderate (1 to <2),26,212,0.11556070258330957,0.02229754977046574,0.09326315281284384,0.6341179506038317,2.0915136207751483e-6,3.056970355196576e-5,3.056970355196576e-5,TRUE,1
NP1PAIN,"Pain (primary, positive control)",High (>=2),16,97,-0.39118031470333636,-0.6954109662757356,0.30423065157239926,0.3126820520869872,1.1488860392652596e-4,0.013843289258865962,0.013843289258865962,TRUE,1
NP1HALL,Hallucinations (negative control),All,67,575,-8.382086964613151e-4,0.031377755417617,-0.03221596411407831,0.5437215882055504,2.593144876670566e-31,3.243142951864532e-33,2.593144876670566e-31,TRUE,1
NP1HALL,Hallucinations (negative control),Low (<1),60,550,0.034808811033762245,0.07530615303157025,-0.040497341997808,0.3962829195549531,6.8457590380847e-32,4.2659444607462876e-34,6.8457590380847e-32,TRUE,1
NP1HALL,Hallucinations (negative control),Moderate (1 to <2),6,22,-0.19078144078144071,-0.8080079455560842,0.6172265047746435,0.09115124333066837,6.327689762653656e-4,0.13253885396913576,0.13253885396913576,FALSE,1
NP1HALL,Hallucinations (negative control),High (>=2),1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP1URIN,Urinary (negative control),All,67,575,0.13033641627015435,0.005581747685467679,0.12475466858468667,0.270137596485073,5.450584243523989e-16,1.1358773806107847e-11,1.1358773806107847e-11,TRUE,1
NP1URIN,Urinary (negative control),Low (<1),28,267,0.4920965890645213,0.28833469939911455,0.20376188966540676,0.23784751206819285,3.120883905988009e-8,2.6283165050889167e-5,2.6283165050889167e-5,TRUE,1
NP1URIN,Urinary (negative control),Moderate (1 to <2),28,215,-0.08637537628962763,-0.07426978961574937,-0.01210558667387826,0.9289931531334025,6.9204436364181585e-9,4.075669327565203e-9,6.9204436364181585e-9,TRUE,1
NP1URIN,Urinary (negative control),High (>=2),11,93,-0.23887764250878904,-0.6215898392799304,0.3827121967711413,0.28989139927250196,9.255949648738102e-4,0.04987385639118667,0.04987385639118667,TRUE,1
NP1COG,Cognition (negative control),All,67,575,-0.022148242697401527,0.03619530111540538,-0.0583435438128069,0.5093173305929275,1.3555071397573465e-17,3.5693987229550036e-20,1.3555071397573465e-17,TRUE,1
NP1COG,Cognition (negative control),Low (<1),52,410,0.1779061196866421,0.21430399354196686,-0.03639787385532475,0.672876090385149,8.102891963239154e-17,3.661492643766251e-18,8.102891963239154e-17,TRUE,1
NP1COG,Cognition (negative control),Moderate (1 to <2),12,137,-0.6253567711385049,-0.3104722054892317,-0.31488456564927314,0.07392617506579888,3.4240235692413755e-4,2.047700634978868e-7,3.4240235692413755e-4,TRUE,1
NP1COG,Cognition (negative control),High (>=2),3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
