k,direction,diff,ci_lo,ci_hi,welch_p,tost_p_max,tost_NI
0,DBS-favouring,-0.015972694992591144,-0.15876787491310212,0.12682248492791984,0.8250447423199004,4.057585194943659e-26,TRUE
0.25,DBS-favouring,-0.25220668097277005,-0.39704314757227055,-0.10737021437326956,7.86298663758531e-4,3.6631287465580485e-18,TRUE
0.5,DBS-favouring,-0.48844066695294996,-0.6392352979064199,-0.3376460359994802,3.1856813522289892e-9,3.609764033174914e-10,TRUE
0.75,DBS-favouring,-0.7246746529331272,-0.8849080006016645,-0.5644413052645899,6.411958597307687e-15,4.571278141463036e-4,TRUE
1,DBS-favouring,-0.9609086389133092,-1.1334911505470346,-0.7883261272795837,8.07902764271298e-20,0.3272790757017783,FALSE
1.25,DBS-favouring,-1.1971426248934876,-1.3844098611989404,-1.009875388588035,1.0614004610990105e-23,0.980372971432738,FALSE
1.5,DBS-favouring,-1.4333766108736594,-1.637159856217912,-1.229593365529407,1.1004912984449849e-26,0.9999750858972155,FALSE
0,Anti-DBS,-0.015972694992591144,-0.15876787491310212,0.12682248492791984,0.8250447423199004,4.057585194943659e-26,TRUE
0.25,Anti-DBS,0.22026129098758684,0.0754248243880864,0.36509775758708735,0.0031878399790387225,3.441070833817395e-19,TRUE
0.5,Anti-DBS,0.45649527696776615,0.3057006460142963,0.6072899079212359,2.3564190974924456e-8,4.44202582717891e-11,TRUE
0.75,Anti-DBS,0.692729262947946,0.5324959152794088,0.8529626106164833,5.28871840052529e-14,1.1673302474655556e-4,TRUE
1,Anti-DBS,0.9289632489281234,0.7563807372943979,1.1015457605618488,5.961184850639144e-19,0.2083144512366094,FALSE
1.25,Anti-DBS,1.1651972349082989,0.9779299986028461,1.3524644712137517,6.581543891798916e-23,0.9583719333707421,FALSE
1.5,Anti-DBS,1.40143122088848,1.1976479755442273,1.6052144662327328,5.725025739711001e-26,0.999920127082808,FALSE
